headline,url,subscription,byline,article_type,img_url
Attack on Iran derails France's plans to recognize a Palestinian state,https://www.lemonde.fr/en/international/article/2025/06/14/attack-on-iran-derails-france-s-plans-to-recognize-a-palestinian-state_6742343_4.html,Subscribers only,,World,https://img.lemde.fr/2025/06/14/569/0/5000/3333/180/0/95/0/89ca73b_upload-1-0sxaazo2w4s9-kzihnioglu-elysee-macron-13062025-8.jpg
'Netanyahu called Trump's bluff' by striking Iran,https://www.lemonde.fr/en/international/article/2025/06/14/philip-gordon-former-kamala-harris-adviser-netanyahu-called-trump-s-bluff-by-striking-iran_6742341_4.html,Subscribers only,,World,https://img.lemde.fr/2025/06/12/0/0/6000/4000/180/0/95/0/163dfab_upload-1-o7e71rcm7sck-000-34yp7f4.jpg
Europe's paradoxical support for Israel's attack against Iran,https://www.lemonde.fr/en/international/article/2025/06/14/europe-s-paradoxical-support-for-israel-s-attack-against-iran_6742340_4.html,Subscribers only,,World,https://img.lemde.fr/2025/06/14/333/0/5000/3333/180/0/95/0/5e0b0a0_upload-1-9ddgnbtmi72c-kzihnioglu-elysee-macron-13062025-27.jpg
Iranian regime shaken by violence of Israeli attack,https://www.lemonde.fr/en/international/article/2025/06/14/iranian-regime-shaken-by-violence-of-israeli-attack_6742339_4.html,Subscribers only,,World,https://img.lemde.fr/2025/06/14/0/0/5755/3836/180/0/95/0/8bc70ff_upload-1-eay6sivxzp3k-63492650-erfan-khoshkhoo-14.jpg
"Criticism is mounting in the Netherlands against Geert Wilders, who brought down the government",https://www.lemonde.fr/en/international/article/2025/06/04/in-the-netherlands-criticism-is-mounting-against-geert-wilders-who-triggered-the-fall-of-the-government_6741987_4.html,Subscribers only,,World,https://img.lemde.fr/2025/06/03/0/0/5899/3933/180/0/95/0/ee379d9_sirius-fs-upload-1-l6l4gpr2gtqq-1748967472659-824371.jpg
"Five years after Brexit, UK and EU aim for a fresh start",https://www.lemonde.fr/en/international/article/2025/05/19/five-years-after-brexit-uk-and-eu-aim-for-a-fresh-start_6741415_4.html,Subscribers only,,World,https://img.lemde.fr/2025/05/16/0/0/5323/3548/180/0/95/0/8d6970c_ftp-import-images-1-1m7gtiypr1j5-60baaec8c7c94c9ab1710a403a6ec01b-0-88c7cb1e763b4cba8fe1003103d6adaa.jpg
"In Lithuania, the fear of war with Russia lurks just around the corner",https://www.lemonde.fr/en/international/article/2025/05/18/in-lithuania-the-fear-of-war-with-russia-lurks-just-around-the-corner_6741400_4.html,Subscribers only,,World,https://img.lemde.fr/2025/05/08/1894/0/6192/4128/180/0/95/0/20cd996_sirius-fs-upload-1-2g7feluy7bot-1746697659447-dsf0862.jpg
Unveiling Cartier's hidden treasures in Geneva,https://www.lemonde.fr/en/lifestyle/article/2025/05/16/in-geneva-unveiling-cartier-s-hidden-treasures_6741329_37.html,Subscribers only,,Lifestyle,https://img.lemde.fr/2025/05/02/127/0/3543/2362/180/0/95/0/cf5bed9_sirius-fs-upload-1-g7uraxhves4z-1746190382630-01-jrc25-crt-4248.jpg
French court jails two teenagers over 2024 Jewish girl rape,https://www.lemonde.fr/en/france/article/2025/06/14/french-court-jails-two-teenagers-over-2024-jewish-girl-rape_6742336_7.html,Free,,France,https://img.lemde.fr/2025/06/13/0/0/5268/3512/180/0/95/0/426108f_upload-1-pvb1rhmoocf9-000-49fz6t2.jpg
Two Jewish sisters' fight to honor the couple who hid them during the Holocaust,https://www.lemonde.fr/en/france/article/2025/06/13/two-jewish-sisters-fight-to-honor-the-couple-who-hid-them-during-the-holocaust_6742300_7.html,Subscribers only,,France,https://img.lemde.fr/2025/06/11/58/36/1625/1083/180/0/95/0/882c57d_upload-1-ebjvymqie0y8-img20250611-10433199.jpg
French-Algerian woman given 48 hours to leave France in incomprehensible deportation order,https://www.lemonde.fr/en/le-monde-africa/article/2025/06/12/french-algerian-woman-given-48-hours-to-leave-france-in-incomprehensible-deportation-order_6742281_124.html,Subscribers only,,Africa,https://img.lemde.fr/2025/06/11/0/0/4482/2988/180/0/95/0/6dc70a3_upload-1-6hbnp4577xgm-000-1886co.jpg
No miracle solution to UK's alarming number of knife attacks,https://www.lemonde.fr/en/france/article/2025/06/12/knife-crimes-no-miracle-solution-in-the-united-kingdom_6742265_7.html,Subscribers only,,France,https://img.lemde.fr/2025/06/11/0/49/3768/2512/180/0/95/0/3fae7c2_upload-1-nnndpjnjrwry-000-349m8dk.jpg
What is France's 'Black code' and why hasn't it been repealed?,https://www.lemonde.fr/en/videos/video/2025/05/31/what-is-france-s-black-code-and-why-hasn-t-it-been-repealed_6741860_108.html,Free,,Videos,https://img.lemde.fr/2025/05/21/0/150/1620/1080/180/0/95/0/e74dd6c_sirius-fs-upload-1-5dop50fk48dd-1747843623493-00-tile-hori-0-00-05-09.jpg
How was the European Union created?,https://www.lemonde.fr/en/videos/video/2025/05/29/how-was-the-european-union-created_6741795_108.html,Free,,Videos,https://img.lemde.fr/2025/05/19/0/75/810/540/180/0/95/0/8281118_sirius-fs-upload-1-klxdmrofdmg3-1747641588868-1.jpg
Glide bombs: Russia's secret to making cheap weapons,https://www.lemonde.fr/en/videos/video/2025/05/25/glide-bombs-russia-s-secret-to-making-cheap-weapons_6741646_108.html,Subscribers only,,Videos,https://img.lemde.fr/2025/05/09/29/105/1760/1173/180/0/95/0/3e5acef_sirius-fs-upload-1-hslqsgzetrgl-1746780551871-tactiques-02-copie-sirius-copie.jpg
How does the conclave pick the new pope?,https://www.lemonde.fr/en/videos/video/2025/05/07/how-does-the-conclave-pick-the-new-pope_6741005_108.html,Free,,Videos,https://img.lemde.fr/2025/05/06/0/6/7075/4717/180/0/95/0/51f92fa_ftp-import-images-1-krjm07rhnnsk-2025-05-06t153442z-2032611069-rc29ceaxo21x-rtrmadp-3-pope-succession.JPG
'There is a world of difference between how the media portrays JK Rowling and her image among the public',https://www.lemonde.fr/en/opinion/article/2025/06/13/there-is-a-world-of-difference-between-how-the-media-portrays-jk-rowling-and-her-image-among-the-public_6742323_23.html,Subscribers only,,Opinion,https://img.lemde.fr/2024/09/04/0/2/3708/2472/180/0/95/0/d687b27_1725438529777-abaca-brpaphotos20231219-177.jpg
Israel's war in Iran: The choice of war and its risks,https://www.lemonde.fr/en/opinion/article/2025/06/14/israel-s-war-in-iran-the-choice-of-war-and-its-risks_6742338_23.html,Free,,Editorial,https://img.lemde.fr/2025/06/14/0/0/5290/3527/180/0/95/0/00dcce4_upload-1-jtw1tnn1dsj1-423859.jpg
Thomas Piketty: 'Opponents of the tax on the ultra-wealthy lack historical perspective',https://www.lemonde.fr/en/opinion/article/2025/06/14/thomas-piketty-opponents-of-the-tax-on-the-ultra-wealthy-lack-historical-perspective_6742333_23.html,Subscribers only,,Opinion,https://img.lemde.fr/2022/11/05/596/1430/4934/3289/180/0/95/0/97d76b3_1667661960460-pns-6170819.jpg
Tax equity means taxing the ultra-wealthy,https://www.lemonde.fr/en/opinion/article/2025/06/13/tax-equity-means-taxing-the-ultra-wealthy_6742311_23.html,Free,,Editorial,https://img.lemde.fr/2025/06/12/0/0/8256/5504/180/0/95/0/3aa8a4d_ftp-import-images-1-knqno3zizaai-5169131-01-06.jpg
"In Rome, Maria Grazia Chiuri's final bow",https://www.lemonde.fr/en/m-le-mag/article/2025/06/13/in-rome-maria-grazia-chiuri-s-final-bow_6742321_117.html,Subscribers only,,Magazine,https://img.lemde.fr/2025/06/02/98/0/1500/1000/180/0/95/0/616605d_ftp-import-images-1-kpooh7zumnns-384339-3424812.jpg
"The life and death of Julie, 21, swept up in the spiral of social media",https://www.lemonde.fr/en/m-le-mag/article/2025/06/11/the-life-and-death-of-julie-21-swept-up-in-the-spiral-of-social-media_6742255_117.html,Subscribers only,,Magazine,https://img.lemde.fr/2025/05/27/312/0/1212/808/180/0/95/0/d1c13d2_sirius-fs-upload-1-l6j31th5s5o3-1748334396658-web-img-715.jpg
"In Alsace, Turks reconnect with their heritage: 'It's hard to part with these objects, but I'm glad they'll be in a museum'",https://www.lemonde.fr/en/m-le-mag/article/2025/06/10/in-alsace-turks-reconnect-with-their-heritage-it-s-hard-to-part-with-these-objects-but-i-m-glad-they-ll-be-in-a-museum_6742184_117.html,Subscribers only,,Magazine,https://img.lemde.fr/2025/06/03/4/0/5976/3984/180/0/95/0/0f19b4d_sirius-fs-upload-1-2shb937xxf4k-1748966497458-muharrem-koci-directeur-de-l-astu-depuis-31-ans-strasbourg-100425-gc-hd-004.jpg
The Russian family of dissidents that spans generations,https://www.lemonde.fr/en/m-le-mag/article/2025/06/09/the-russian-family-of-dissidents-that-spans-generations_6742142_117.html,Subscribers only,,Magazine,https://img.lemde.fr/2025/05/08/0/0/4920/3280/180/0/95/0/4be8d3e_sirius-fs-upload-1-tr4kx4xgyyxp-1746705621067-012.JPG
Paris exhibition tries to answer the mystery of Cleopatra,https://www.lemonde.fr/en/culture/article/2025/06/12/paris-exhibition-tries-to-answer-the-mystery-of-cleopatra_6742287_30.html,Subscribers only,,Culture,https://img.lemde.fr/2025/06/11/34/0/2974/1982/180/0/95/0/a4944a1_upload-1-1o84zppyvpba-capture-da-ei-cran-2025-06-11-ai-11-46-40.jpg
"Forget the jambon-beurre, try these five delicious banh mi sandwiches in Paris",https://www.lemonde.fr/en/lifestyle/article/2025/06/06/forget-the-jambon-beurre-try-these-five-delicious-banh-mi-sandwiches-in-paris_6742068_37.html,Subscribers only,,Lifestyle,https://img.lemde.fr/2025/05/14/0/0/3543/2362/180/0/95/0/e0fbe7c_sirius-fs-upload-1-m1for5tnfbiw-1747234365807-chi-s-vietfood-img-0557.jpg
"Gabriele MÃ¼nter, a framing prodigy, emerges from the shadows in new Paris show",https://www.lemonde.fr/en/culture/article/2025/06/04/at-the-musee-d-art-moderne-de-paris-gabriele-munter-a-framing-prodigy-has-emerged-from-the-shadows_6741982_30.html,Subscribers only,,Culture,https://img.lemde.fr/2025/06/03/724/0/2401/1600/180/0/95/0/a12b0d4_sirius-fs-upload-1-wrhdrf5upmkq-1748943322512-6-nature-morte-dans-le-tramway.jpg
How artists dress: A work of art in itself,https://www.lemonde.fr/en/culture/article/2025/05/30/how-artists-dress-a-work-of-art-in-itself_6741825_30.html,Subscribers only,,Culture,https://img.lemde.fr/2025/05/14/0/0/1500/1000/180/0/95/0/82781cf_ftp-import-images-1-vwdkzbudjmnk-381829-3421547.jpg
